graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
soc-pokec-relationships,5,REF_R1,OK,57029.6,8903.9,27287.0,-1.0,-1.0,2880860
soc-pokec-relationships,3,REF_R1,OK,69317.2,17052.9,31600.6,-1.0,-1.0,4783664
web-it-2004,5,REF_R1,OK,136976.3,789.5,132190.0,-1.0,-1.0,538484
web-it-2004,9,REF_R1,OK,139567.5,774.7,132109.0,-1.0,-1.0,497180
soc-pokec-relationships,15,REF_R1_HIER,OK,116037.9,79744.1,17197.6,-1.0,1363.3,4237656
web-it-2004,7,REF_R1,OK,145820.1,859.3,138779.0,-1.0,-1.0,515572
web-it-2004,15,REF_R1,OK,144964.3,568.2,139039.0,-1.0,-1.0,422104
com-orkut,7,ST_V3,OOM_KILL_NEWEST,99794.4,-1.0,-1.0,-1.0,-1.0,-1
web-it-2004,11,REF_R1,OK,148527.1,648.4,141944.0,-1.0,-1.0,462016
web-it-2004,13,REF_R1,OK,148313.7,593.2,143276.0,-1.0,-1.0,437900
com-orkut,5,REF_R1_HIER,OOM_KILL_NEWEST,103087.7,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,5,REF_R1,OOM_KILL_NEWEST,109614.4,-1.0,-1.0,-1.0,-1.0,-1
web-it-2004,5,REF_R1_HIER,OK,155430.2,14600.1,134615.0,-1.0,1515.8,1351852
web-it-2004,9,REF_R1_HIER,OK,155078.5,14447.8,136807.0,-1.0,1389.5,1317052
web-it-2004,11,REF_R1_HIER,OK,154923.3,13821.8,134602.0,-1.0,1434.4,1157212
web-it-2004,7,REF_R1_HIER,OK,158392.8,16172.3,138088.0,-1.0,1615.8,1341044
web-it-2004,13,REF_R1_HIER,OK,160841.1,13547.5,142961.0,-1.0,1251.0,1208480
web-it-2004,15,REF_R1_HIER,OK,160670.0,23415.8,131845.0,-1.0,1298.7,1204232
com-orkut,5,ST_V3_HIER,OOM_KILL_NEWEST,128531.0,-1.0,-1.0,-1.0,-1.0,-1
soc-pokec-relationships,3,REF_R1_HIER,OK,172656.2,119762.0,31444.4,-1.0,8563.1,10445088
com-orkut,5,ST_V3,OOM_KILL_NEWEST,153017.4,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,3,REF_R1_HIER,OOM_KILL_NEWEST,165561.3,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,7,REF_R1,OK,502396.8,163329.0,328428.0,-1.0,-1.0,51951980
wiki-Talk,3,REF_R1_HIER,OK,536030.8,479722.0,49434.9,-1.0,15022.5,37077180
soc-pokec-relationships,13,REF_R1_HIER,OK,268754.6,231182.0,17730.4,-1.0,3325.8,8996216
soc-pokec-relationships,11,REF_R1_HIER,OK,588651.6,550881.0,18623.0,-1.0,7361.0,18651448
soc-pokec-relationships,5,REF_R1_HIER,OK,607418.2,557890.0,27088.8,-1.0,18416.2,39483644
soc-pokec-relationships,7,REF_R1_HIER,OK,755142.5,711272.0,22769.7,-1.0,21422.8,49013676
soc-pokec-relationships,9,REF_R1_HIER,OK,784220.4,745711.0,19840.0,-1.0,13659.8,33755308
wiki-Talk,5,REF_R1_HIER,OK,1237947.0,1.1,162327.0,-1.0,39953.4,97907552
com-orkut,15,REF_R1_HIER,OOM_KILL_NEWEST,314561.3,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,15,REF_R1,OOM_KILL_NEWEST,324440.9,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,15,ST_V3_HIER,OOM_KILL_NEWEST,327933.0,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,15,ST_V3,OOM_KILL_NEWEST,334543.2,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,REF_R1_HIER,OOM_KILL_NEWEST,344622.7,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,REF_R1,OOM_KILL_NEWEST,351685.3,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,ST_V3_HIER,OOM_KILL_NEWEST,367595.6,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,ST_V3,OOM_KILL_NEWEST,380487.9,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,REF_R1_HIER,OOM_KILL_NEWEST,390817.7,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,REF_R1,OOM_KILL_NEWEST,407531.0,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,ST_V3_HIER,OOM_KILL_NEWEST,414793.0,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,ST_V3,OOM_KILL_NEWEST,422206.1,-1.0,-1.0,-1.0,-1.0,-1
